x 	 y 	 b 	 n 	 func
 0.200000 	 0.745455 	 0.100000 	 1.000000 	 -0.002354
 0.200000 	 0.745455 	 0.100000 	 7.000000 	 -0.002353
 0.200000 	 0.745455 	 0.100000 	 19.000000 	 -0.002353
 0.200000 	 0.745455 	 0.200000 	 1.000000 	 -0.041583
 0.200000 	 0.745455 	 0.200000 	 7.000000 	 -0.041638
 0.200000 	 0.745455 	 0.200000 	 19.000000 	 -0.041638
 0.200000 	 0.745455 	 0.300000 	 1.000000 	 0.156615
 0.200000 	 0.745455 	 0.300000 	 7.000000 	 0.154296
 0.200000 	 0.745455 	 0.300000 	 19.000000 	 0.154296
 0.200000 	 0.745455 	 0.400000 	 1.000000 	 -0.109952
 0.200000 	 0.745455 	 0.400000 	 7.000000 	 -0.121346
 0.200000 	 0.745455 	 0.400000 	 19.000000 	 -0.121345
 0.200000 	 0.745455 	 0.500000 	 1.000000 	 -0.362228
 0.200000 	 0.745455 	 0.500000 	 7.000000 	 -0.335147
 0.200000 	 0.745455 	 0.500000 	 19.000000 	 -0.335161
 0.200000 	 0.745455 	 0.600000 	 1.000000 	 -0.308331
 0.200000 	 0.745455 	 0.600000 	 7.000000 	 -0.345045
 0.200000 	 0.745455 	 0.600000 	 19.000000 	 -0.345111
 0.200000 	 0.745455 	 0.700000 	 1.000000 	 -0.105124
 0.200000 	 0.745455 	 0.700000 	 7.000000 	 -0.169191
 0.200000 	 0.745455 	 0.700000 	 19.000000 	 -0.169628
 0.200000 	 0.745455 	 0.800000 	 1.000000 	 0.123398
 0.200000 	 0.745455 	 0.800000 	 7.000000 	 0.222937
 0.200000 	 0.745455 	 0.800000 	 19.000000 	 0.224127
 0.200000 	 0.745455 	 0.900000 	 1.000000 	 0.325391
 0.200000 	 0.745455 	 0.900000 	 7.000000 	 0.492991
 0.200000 	 0.745455 	 0.900000 	 19.000000 	 0.490569
 0.200000 	 0.745455 	 1.000000 	 1.000000 	 0.487118
 0.200000 	 0.745455 	 1.000000 	 7.000000 	 0.566343
 0.200000 	 0.745455 	 1.000000 	 19.000000 	 0.570293
 0.200000 	 0.745455 	 1.100000 	 1.000000 	 0.610015
 0.200000 	 0.745455 	 1.100000 	 7.000000 	 0.581879
 0.200000 	 0.745455 	 1.100000 	 19.000000 	 0.582289
 0.200000 	 0.836364 	 0.100000 	 1.000000 	 0.002163
 0.200000 	 0.836364 	 0.100000 	 7.000000 	 0.002163
 0.200000 	 0.836364 	 0.100000 	 19.000000 	 0.002163
 0.200000 	 0.836364 	 0.200000 	 1.000000 	 0.029747
 0.200000 	 0.836364 	 0.200000 	 7.000000 	 0.029849
 0.200000 	 0.836364 	 0.200000 	 19.000000 	 0.029849
 0.200000 	 0.836364 	 0.300000 	 1.000000 	 0.096923
 0.200000 	 0.836364 	 0.300000 	 7.000000 	 0.099078
 0.200000 	 0.836364 	 0.300000 	 19.000000 	 0.099078
 0.200000 	 0.836364 	 0.400000 	 1.000000 	 0.074569
 0.200000 	 0.836364 	 0.400000 	 7.000000 	 0.083722
 0.200000 	 0.836364 	 0.400000 	 19.000000 	 0.083722
 0.200000 	 0.836364 	 0.500000 	 1.000000 	 -0.310320
 0.200000 	 0.836364 	 0.500000 	 7.000000 	 -0.309986
 0.200000 	 0.836364 	 0.500000 	 19.000000 	 -0.309987
 0.200000 	 0.836364 	 0.600000 	 1.000000 	 -0.422231
 0.200000 	 0.836364 	 0.600000 	 7.000000 	 -0.392416
 0.200000 	 0.836364 	 0.600000 	 19.000000 	 -0.392324
 0.200000 	 0.836364 	 0.700000 	 1.000000 	 -0.298114
 0.200000 	 0.836364 	 0.700000 	 7.000000 	 -0.380292
 0.200000 	 0.836364 	 0.700000 	 19.000000 	 -0.380055
 0.200000 	 0.836364 	 0.800000 	 1.000000 	 -0.082616
 0.200000 	 0.836364 	 0.800000 	 7.000000 	 -0.153563
 0.200000 	 0.836364 	 0.800000 	 19.000000 	 -0.154883
 0.200000 	 0.836364 	 0.900000 	 1.000000 	 0.139557
 0.200000 	 0.836364 	 0.900000 	 7.000000 	 0.280857
 0.200000 	 0.836364 	 0.900000 	 19.000000 	 0.283421
 0.200000 	 0.836364 	 1.000000 	 1.000000 	 0.334014
 0.200000 	 0.836364 	 1.000000 	 7.000000 	 0.550096
 0.200000 	 0.836364 	 1.000000 	 19.000000 	 0.545167
 0.200000 	 0.836364 	 1.100000 	 1.000000 	 0.491772
 0.200000 	 0.836364 	 1.100000 	 7.000000 	 0.606493
 0.200000 	 0.836364 	 1.100000 	 19.000000 	 0.611726
 0.200000 	 0.927273 	 0.100000 	 1.000000 	 -0.001797
 0.200000 	 0.927273 	 0.100000 	 7.000000 	 -0.001797
