x 	 y 	 b 	 n 	 func
 0.200000 	 0.160000 	 1.385000 	 7.000000 	 0.413460
 0.200000 	 0.160000 	 1.385000 	 19.000000 	 0.412236
 0.200000 	 0.160000 	 1.440000 	 1.000000 	 0.281491
 0.200000 	 0.160000 	 1.440000 	 7.000000 	 0.414579
 0.200000 	 0.160000 	 1.440000 	 19.000000 	 0.413519
 0.200000 	 0.160000 	 1.495000 	 1.000000 	 0.275931
 0.200000 	 0.160000 	 1.495000 	 7.000000 	 0.415461
 0.200000 	 0.160000 	 1.495000 	 19.000000 	 0.414665
 0.200000 	 0.160000 	 1.550000 	 1.000000 	 0.270496
 0.200000 	 0.160000 	 1.550000 	 7.000000 	 0.416122
 0.200000 	 0.160000 	 1.550000 	 19.000000 	 0.415692
 0.200000 	 0.160000 	 1.605000 	 1.000000 	 0.265196
 0.200000 	 0.160000 	 1.605000 	 7.000000 	 0.416574
 0.200000 	 0.160000 	 1.605000 	 19.000000 	 0.416617
 0.200000 	 0.160000 	 1.660000 	 1.000000 	 0.260035
 0.200000 	 0.160000 	 1.660000 	 7.000000 	 0.416827
 0.200000 	 0.160000 	 1.660000 	 19.000000 	 0.417455
 0.200000 	 0.160000 	 1.715000 	 1.000000 	 0.255017
 0.200000 	 0.160000 	 1.715000 	 7.000000 	 0.416894
 0.200000 	 0.160000 	 1.715000 	 19.000000 	 0.418216
 0.200000 	 0.160000 	 1.770000 	 1.000000 	 0.250142
 0.200000 	 0.160000 	 1.770000 	 7.000000 	 0.416785
 0.200000 	 0.160000 	 1.770000 	 19.000000 	 0.418912
 0.200000 	 0.160000 	 1.825000 	 1.000000 	 0.245410
 0.200000 	 0.160000 	 1.825000 	 7.000000 	 0.416510
 0.200000 	 0.160000 	 1.825000 	 19.000000 	 0.419552
 0.200000 	 0.160000 	 1.880000 	 1.000000 	 0.240818
 0.200000 	 0.160000 	 1.880000 	 7.000000 	 0.416079
 0.200000 	 0.160000 	 1.880000 	 19.000000 	 0.420141
 0.200000 	 0.160000 	 1.935000 	 1.000000 	 0.236365
 0.200000 	 0.160000 	 1.935000 	 7.000000 	 0.415502
 0.200000 	 0.160000 	 1.935000 	 19.000000 	 0.420689
 0.200000 	 0.160000 	 1.990000 	 1.000000 	 0.232047
 0.200000 	 0.160000 	 1.990000 	 7.000000 	 0.414788
 0.200000 	 0.160000 	 1.990000 	 19.000000 	 0.421199
 0.200000 	 0.160000 	 2.045000 	 1.000000 	 0.227861
 0.200000 	 0.160000 	 2.045000 	 7.000000 	 0.413947
 0.200000 	 0.160000 	 2.045000 	 19.000000 	 0.421677
 0.200000 	 0.210000 	 1.000000 	 1.000000 	 0.416322
