x 	 y 	 b 	 n 	 func
 0.200000 	 0.654545 	 2.000000 	 19.000000 	 0.685069
 0.200000 	 0.745455 	 1.000000 	 1.000000 	 0.487118
 0.200000 	 0.745455 	 1.000000 	 7.000000 	 0.566343
 0.200000 	 0.745455 	 1.000000 	 19.000000 	 0.570293
 0.200000 	 0.745455 	 1.100000 	 1.000000 	 0.610015
 0.200000 	 0.745455 	 1.100000 	 7.000000 	 0.581879
 0.200000 	 0.745455 	 1.100000 	 19.000000 	 0.582289
 0.200000 	 0.745455 	 1.200000 	 1.000000 	 0.700219
 0.200000 	 0.745455 	 1.200000 	 7.000000 	 0.588859
 0.200000 	 0.745455 	 1.200000 	 19.000000 	 0.579943
 0.200000 	 0.745455 	 1.300000 	 1.000000 	 0.764447
 0.200000 	 0.745455 	 1.300000 	 7.000000 	 0.582434
 0.200000 	 0.745455 	 1.300000 	 19.000000 	 0.577926
 0.200000 	 0.745455 	 1.400000 	 1.000000 	 0.808604
 0.200000 	 0.745455 	 1.400000 	 7.000000 	 0.568970
 0.200000 	 0.745455 	 1.400000 	 19.000000 	 0.579457
 0.200000 	 0.745455 	 1.500000 	 1.000000 	 0.837478
 0.200000 	 0.745455 	 1.500000 	 7.000000 	 0.564175
 0.200000 	 0.745455 	 1.500000 	 19.000000 	 0.584467
 0.200000 	 0.745455 	 1.600000 	 1.000000 	 0.854806
 0.200000 	 0.745455 	 1.600000 	 7.000000 	 0.576944
 0.200000 	 0.745455 	 1.600000 	 19.000000 	 0.593078
 0.200000 	 0.745455 	 1.700000 	 1.000000 	 0.863454
 0.200000 	 0.745455 	 1.700000 	 7.000000 	 0.605261
 0.200000 	 0.745455 	 1.700000 	 19.000000 	 0.604143
 0.200000 	 0.745455 	 1.800000 	 1.000000 	 0.865603
 0.200000 	 0.745455 	 1.800000 	 7.000000 	 0.640754
 0.200000 	 0.745455 	 1.800000 	 19.000000 	 0.616497
 0.200000 	 0.745455 	 1.900000 	 1.000000 	 0.862908
 0.200000 	 0.745455 	 1.900000 	 7.000000 	 0.674356
 0.200000 	 0.745455 	 1.900000 	 19.000000 	 0.630894
 0.200000 	 0.745455 	 2.000000 	 1.000000 	 0.856624
 0.200000 	 0.745455 	 2.000000 	 7.000000 	 0.699664
 0.200000 	 0.745455 	 2.000000 	 19.000000 	 0.647997
 0.200000 	 0.836364 	 1.000000 	 1.000000 	 0.334014
 0.200000 	 0.836364 	 1.000000 	 7.000000 	 0.550096
 0.200000 	 0.836364 	 1.000000 	 19.000000 	 0.545167
 0.200000 	 0.836364 	 1.100000 	 1.000000 	 0.491772
 0.200000 	 0.836364 	 1.100000 	 7.000000 	 0.606493
 0.200000 	 0.836364 	 1.100000 	 19.000000 	 0.611726
 0.200000 	 0.836364 	 1.200000 	 1.000000 	 0.614392
 0.200000 	 0.836364 	 1.200000 	 7.000000 	 0.608299
 0.200000 	 0.836364 	 1.200000 	 19.000000 	 0.613568
 0.200000 	 0.836364 	 1.300000 	 1.000000 	 0.706947
 0.200000 	 0.836364 	 1.300000 	 7.000000 	 0.613540
 0.200000 	 0.836364 	 1.300000 	 19.000000 	 0.603489
 0.200000 	 0.836364 	 1.400000 	 1.000000 	 0.775070
 0.200000 	 0.836364 	 1.400000 	 7.000000 	 0.609109
 0.200000 	 0.836364 	 1.400000 	 19.000000 	 0.595013
 0.200000 	 0.836364 	 1.500000 	 1.000000 	 0.823853
 0.200000 	 0.836364 	 1.500000 	 7.000000 	 0.590106
 0.200000 	 0.836364 	 1.500000 	 19.000000 	 0.591292
 0.200000 	 0.836364 	 1.600000 	 1.000000 	 0.857541
 0.200000 	 0.836364 	 1.600000 	 7.000000 	 0.570449
 0.200000 	 0.836364 	 1.600000 	 19.000000 	 0.591560
 0.200000 	 0.836364 	 1.700000 	 1.000000 	 0.879544
 0.200000 	 0.836364 	 1.700000 	 7.000000 	 0.565343
 0.200000 	 0.836364 	 1.700000 	 19.000000 	 0.595304
 0.200000 	 0.836364 	 1.800000 	 1.000000 	 0.892542
 0.200000 	 0.836364 	 1.800000 	 7.000000 	 0.580378
 0.200000 	 0.836364 	 1.800000 	 19.000000 	 0.602941
 0.200000 	 0.836364 	 1.900000 	 1.000000 	 0.898628
 0.200000 	 0.836364 	 1.900000 	 7.000000 	 0.611578
 0.200000 	 0.836364 	 1.900000 	 19.000000 	 0.612525
 0.200000 	 0.836364 	 2.000000 	 1.000000 	 0.899425
 0.200000 	 0.836364 	 2.000000 	 7.000000 	 0.650184
 0.200000 	 0.836364 	 2.000000 	 19.000000 	 0.622494
 0.200000 	 0.927273 	 1.000000 	 1.000000 	 0.153850
 0.200000 	 0.927273 	 1.000000 	 7.000000 	 0.341929
 0.200000 	 0.927273 	 1.000000 	 19.000000 	 0.346621
 0.200000 	 0.927273 	 1.100000 	 1.000000 	 0.340565
 0.200000 	 0.927273 	 1.100000 	 7.000000 	 0.607669
 0.200000 	 0.927273 	 1.100000 	 19.000000 	 0.599078
 0.200000 	 0.927273 	 1.200000 	 1.000000 	 0.493927
 0.200000 	 0.927273 	 1.200000 	 7.000000 	 0.646733
 0.200000 	 0.927273 	 1.200000 	 19.000000 	 0.652079
 0.200000 	 0.927273 	 1.300000 	 1.000000 	 0.615464
 0.200000 	 0.927273 	 1.300000 	 7.000000 	 0.632326
 0.200000 	 0.927273 	 1.300000 	 19.000000 	 0.644274
 0.200000 	 0.927273 	 1.400000 	 1.000000 	 0.709393
 0.200000 	 0.927273 	 1.400000 	 7.000000 	 0.633868
 0.200000 	 0.927273 	 1.400000 	 19.000000 	 0.626973
 0.200000 	 0.927273 	 1.500000 	 1.000000 	 0.780451
 0.200000 	 0.927273 	 1.500000 	 7.000000 	 0.634485
 0.200000 	 0.927273 	 1.500000 	 19.000000 	 0.612720
 0.200000 	 0.927273 	 1.600000 	 1.000000 	 0.833026
 0.200000 	 0.927273 	 1.600000 	 7.000000 	 0.617043
 0.200000 	 0.927273 	 1.600000 	 19.000000 	 0.603849
 0.200000 	 0.927273 	 1.700000 	 1.000000 	 0.870868
 0.200000 	 0.927273 	 1.700000 	 7.000000 	 0.588539
 0.200000 	 0.927273 	 1.700000 	 19.000000 	 0.600414
 0.200000 	 0.927273 	 1.800000 	 1.000000 	 0.897058
 0.200000 	 0.927273 	 1.800000 	 7.000000 	 0.566316
 0.200000 	 0.927273 	 1.800000 	 19.000000 	 0.599921
 0.200000 	 0.927273 	 1.900000 	 1.000000 	 0.914081
 0.200000 	 0.927273 	 1.900000 	 7.000000 	 0.562901
 0.200000 	 0.927273 	 1.900000 	 19.000000 	 0.603083
 0.200000 	 0.927273 	 2.000000 	 1.000000 	 0.923916
 0.200000 	 0.927273 	 2.000000 	 7.000000 	 0.580890
 0.200000 	 0.927273 	 2.000000 	 19.000000 	 0.610458
 0.200000 	 1.018182 	 1.000000 	 1.000000 	 -0.038778
 0.200000 	 1.018182 	 1.000000 	 7.000000 	 -0.093341
 0.200000 	 1.018182 	 1.000000 	 19.000000 	 -0.096632
 0.200000 	 1.018182 	 1.100000 	 1.000000 	 0.166529
